tipo_imovel,cidade,bairro,localizacao,metro_quadrado_terreno,metro_quadrado_construido,quantidade_comodos,quantidade_suites,possui_piscina,idade_anos,estado_conservacao,preco
apartamento,Sao Paulo,Jardim Paulista,centro,149,140,6,1,nao,13,bom,1772000
apartamento,Sao Paulo,Sapopemba,periferia,109,106,5,2,nao,36,ruim,430000
casa,Sao Paulo,Perdizes,centro,609,199,11,4,sim,27,ruim,2674000
casa,Sao Paulo,Cidade Ademar,periferia,521,233,11,1,nao,40,ruim,994000
apartamento,Sao Paulo,Vila Madalena,centro,136,126,6,0,nao,8,bom,1637000
apartamento,Sao Paulo,Bela Vista,centro,198,185,6,2,nao,16,bom,1657000
apartamento,Sao Paulo,Grajau,periferia,90,87,4,2,sim,18,ruim,383000
casa,Sao Paulo,Mooca,centro,403,274,13,2,nao,7,bom,2280000
apartamento,Sao Paulo,Cidade Tiradentes,periferia,210,184,7,0,nao,25,ruim,551000
apartamento,Sao Paulo,Itaim Bibi,centro,249,218,9,0,nao,42,ruim,2329000
chacara,Juquitiba,Zona Rural,periferia,2001,343,11,4,sim,15,bom,1559000
sitio,Atibaia,Zona Rural,periferia,40165,123,5,1,nao,29,ruim,899000
chacara,Nazare Paulista,Zona Rural,periferia,2551,330,13,2,sim,29,ruim,1322000
apartamento,Sao Paulo,Vila Mariana,centro,108,107,5,0,nao,45,ruim,879000
apartamento,Sao Paulo,Jardim Paulista,centro,80,75,4,2,nao,4,bom,862000
apartamento,Osasco,Centro (Osasco),periferia,219,203,8,2,nao,24,ruim,1263000
apartamento,Sao Paulo,Brooklin,centro,132,116,4,3,nao,8,bom,1518000
casa,Sao Paulo,Higienopolis,centro,391,145,9,1,nao,6,bom,2387000
casa,Sao Paulo,Jardim Paulista,centro,519,230,12,4,sim,9,bom,3781000
sitio,Cotia,Zona Rural,periferia,53602,321,11,2,sim,33,ruim,3193000
chacara,Sao Luiz do Paraitinga,Zona Rural,periferia,4239,285,11,4,nao,35,ruim,910000
casa,Sao Paulo,Vila Olimpia,centro,515,315,14,1,nao,41,ruim,3937000
sitio,Piracaia,Zona Rural,periferia,31506,151,5,1,nao,8,bom,1876000
apartamento,Sao Paulo,Brooklin,centro,93,92,5,2,nao,18,ruim,821000
casa,Sao Paulo,Vila Madalena,centro,305,149,9,1,nao,10,bom,2434000
apartamento,Sao Paulo,Pinheiros,centro,121,116,6,1,nao,44,ruim,1306000
chacara,Pinhalzinho,Zona Rural,periferia,6717,362,14,4,nao,2,bom,1866000
apartamento,Guarulhos,Centro (Guarulhos),periferia,154,137,6,0,nao,37,ruim,712000
chacara,Atibaia,Zona Rural,periferia,4694,151,5,4,nao,12,bom,861000
apartamento,Sao Paulo,Sapopemba,periferia,122,109,3,2,nao,35,ruim,400000
apartamento,Osasco,Centro (Osasco),periferia,81,78,4,1,nao,17,bom,464000
casa,Sao Paulo,Bela Vista,centro,615,345,17,1,nao,3,bom,4576000
casa,Sao Paulo,Pinheiros,centro,653,316,14,1,sim,18,ruim,4156000
casa,Sao Paulo,Cidade Tiradentes,periferia,435,205,8,4,nao,31,bom,1033000
apartamento,Sao Paulo,Vila Madalena,centro,98,88,4,0,nao,11,bom,982000
chacara,Juquitiba,Zona Rural,periferia,4697,136,6,4,sim,25,ruim,635000
chacara,Pinhalzinho,Zona Rural,periferia,9812,137,7,3,nao,32,bom,1312000
chacara,Ibiuna,Zona Rural,periferia,8056,210,7,4,sim,31,ruim,1969000
apartamento,Sao Paulo,Vila Olimpia,centro,150,142,6,3,nao,30,ruim,1419000
apartamento,Sao Paulo,Itaim Paulista,periferia,234,212,9,3,nao,25,ruim,818000
apartamento,Sao Paulo,Perdizes,centro,97,87,4,2,nao,12,ruim,853000
casa,Sao Paulo,Guaianases,periferia,495,343,16,1,nao,19,bom,1322000
chacara,Sao Luiz do Paraitinga,Zona Rural,periferia,4649,381,13,4,nao,31,ruim,1171000
casa,Sao Paulo,Itaquera,periferia,274,151,7,1,nao,25,ruim,666000
casa,Sao Paulo,Vila Nova Conceicao,centro,407,136,7,4,sim,7,ruim,2745000
chacara,Piracaia,Zona Rural,periferia,4112,117,4,1,sim,54,ruim,450000
casa,Sao Paulo,Capao Redondo,periferia,830,278,15,2,nao,17,bom,1526000
apartamento,Sao Paulo,Sapopemba,periferia,84,83,4,0,nao,28,ruim,280000
casa,Sao Paulo,Tatuape,centro,902,297,13,1,nao,21,ruim,4589000
casa,Sao Paulo,Jardim Paulista,centro,779,298,15,3,sim,16,bom,5128000
apartamento,Sao Paulo,Itaim Paulista,periferia,203,188,7,0,nao,24,ruim,545000
casa,Sao Paulo,Itaim Paulista,periferia,478,313,14,3,nao,19,bom,1455000
casa,Sao Paulo,Vila Madalena,centro,141,101,4,3,nao,3,bom,1355000
chacara,Cotia,Zona Rural,periferia,2842,273,9,2,nao,10,ruim,1014000
casa,Sao Paulo,Guaianases,periferia,274,143,8,2,nao,55,ruim,530000
casa,Sao Paulo,Grajau,periferia,666,377,17,3,nao,17,ruim,1303000
chacara,Braganca Paulista,Zona Rural,periferia,3610,169,8,3,nao,16,ruim,831000
apartamento,Sao Paulo,Vila Mariana,centro,77,69,4,1,nao,21,bom,868000
apartamento,Guarulhos,Centro (Guarulhos),periferia,47,47,1,1,sim,7,bom,391000
apartamento,Sao Paulo,Vila Mariana,centro,207,183,6,0,sim,21,bom,2381000
casa,Sao Paulo,Cidade Tiradentes,periferia,879,384,18,3,nao,9,bom,1907000
casa,Sao Paulo,Jardim Paulista,centro,547,214,9,3,nao,29,bom,3266000
casa,Sao Paulo,Pinheiros,centro,317,143,5,1,sim,44,ruim,2043000
apartamento,Sao Paulo,Brasilandia,periferia,211,211,9,3,nao,50,ruim,829000
chacara,Ibiuna,Zona Rural,periferia,6730,201,8,3,sim,30,ruim,1642000
casa,Sao Paulo,Vila Mariana,centro,1057,389,17,2,sim,18,ruim,5847000
apartamento,Sao Paulo,Sapopemba,periferia,198,192,8,2,nao,28,ruim,700000
apartamento,Sao Paulo,Sapopemba,periferia,98,97,4,1,nao,13,ruim,398000
chacara,Ibiuna,Zona Rural,periferia,12110,281,10,1,nao,7,bom,2383000
apartamento,Sao Paulo,Itaim Bibi,centro,123,116,5,2,nao,24,ruim,1334000
apartamento,Sao Paulo,Vila Madalena,centro,126,119,4,3,nao,23,bom,1457000
apartamento,Sao Paulo,Santana,centro,59,53,3,1,sim,32,ruim,432000
casa,Osasco,Centro (Osasco),periferia,182,83,6,4,sim,53,ruim,445000
chacara,Braganca Paulista,Zona Rural,periferia,4045,223,7,4,sim,46,ruim,682000
apartamento,Sao Paulo,Vila Nova Conceicao,centro,145,127,6,3,nao,17,bom,1791000
apartamento,Sao Paulo,Moema,centro,221,215,10,1,sim,9,bom,3002000
casa,Sao Paulo,Brooklin,centro,497,185,8,2,nao,22,bom,3273000
apartamento,Sao Paulo,Vila Madalena,centro,128,126,6,0,nao,34,ruim,938000
casa,Sao Paulo,Perus,periferia,308,182,10,1,nao,24,bom,742000
apartamento,Sao Paulo,Brooklin,centro,56,55,2,0,sim,8,bom,681000
apartamento,Sao Paulo,Jardim Paulista,centro,40,39,1,0,nao,19,bom,453000
casa,Sao Paulo,Itaim Paulista,periferia,1048,348,15,2,nao,12,ruim,1633000
sitio,Cotia,Zona Rural,periferia,23995,253,10,1,nao,38,ruim,1582000
apartamento,Sao Paulo,Vila Nova Conceicao,centro,121,117,6,1,nao,11,ruim,1995000
apartamento,Sao Paulo,Vila Nova Conceicao,centro,88,82,3,0,nao,16,ruim,1189000
sitio,Atibaia,Zona Rural,periferia,88621,340,12,3,sim,35,ruim,3540000
chacara,Juquitiba,Zona Rural,periferia,6201,305,10,2,nao,20,bom,1949000
apartamento,Sao Paulo,Itaquera,periferia,205,200,7,1,nao,17,bom,960000
sitio,Sao Luiz do Paraitinga,Zona Rural,periferia,102769,205,8,3,sim,46,ruim,1809000
casa,Sao Paulo,Mooca,centro,398,132,8,2,nao,3,bom,2305000
casa,Sao Paulo,Tatuape,centro,943,317,16,2,sim,21,bom,4381000
apartamento,Sao Paulo,Pinheiros,centro,109,106,5,1,nao,13,bom,1416000
apartamento,Sao Paulo,Grajau,periferia,148,131,6,3,nao,28,ruim,558000
apartamento,Sao Paulo,Itaim Paulista,periferia,64,58,1,1,nao,25,ruim,235000
chacara,Braganca Paulista,Zona Rural,periferia,1737,249,10,3,nao,8,bom,1089000
apartamento,Sao Paulo,Moema,centro,221,199,7,0,nao,29,ruim,2530000
apartamento,Sao Paulo,Itaim Bibi,centro,42,42,3,1,nao,18,bom,679000
apartamento,Sao Paulo,Vila Olimpia,centro,124,114,5,3,nao,15,bom,1392000
apartamento,Sao Paulo,Itaim Bibi,centro,143,126,6,3,sim,5,bom,1428000
apartamento,Sao Paulo,Vila Nova Conceicao,centro,151,141,7,2,nao,7,bom,2630000
chacara,Piracaia,Zona Rural,periferia,6240,83,4,2,sim,30,bom,1627000
chacara,Atibaia,Zona Rural,periferia,2265,68,4,1,nao,16,ruim,395000
casa,Sao Paulo,Brasilandia,periferia,513,344,15,2,nao,28,ruim,1255000
apartamento,Sao Paulo,Brooklin,centro,125,120,6,1,nao,7,ruim,1430000
apartamento,Osasco,Centro (Osasco),periferia,79,78,4,2,sim,53,ruim,500000
apartamento,Sao Paulo,Itaquera,periferia,183,174,7,0,nao,10,bom,1074000
casa,Sao Paulo,Grajau,periferia,956,318,16,2,nao,12,bom,2082000
casa,Sao Paulo,M'Boi Mirim,periferia,490,207,11,2,sim,20,bom,1054000
apartamento,Sao Paulo,Tatuape,centro,59,52,3,1,sim,25,ruim,447000
casa,Sao Paulo,Perus,periferia,467,176,7,4,nao,17,ruim,816000
apartamento,Sao Paulo,Vila Olimpia,centro,134,124,5,0,nao,23,ruim,1440000
casa,Sao Paulo,Itaquera,periferia,653,276,12,3,sim,20,ruim,1297000
apartamento,Sao Paulo,Cidade Tiradentes,periferia,191,170,6,1,nao,17,ruim,407000
casa,Sao Paulo,Vila Mariana,centro,142,86,4,1,nao,19,bom,1013000
apartamento,Sao Paulo,M'Boi Mirim,periferia,198,177,7,2,nao,15,bom,759000
chacara,Atibaia,Zona Rural,periferia,5790,247,9,1,nao,27,ruim,1172000
apartamento,Sao Paulo,Vila Mariana,centro,224,208,9,3,nao,6,bom,2202000
chacara,Pinhalzinho,Zona Rural,periferia,2686,137,7,3,sim,14,bom,655000
apartamento,Sao Paulo,Itaquera,periferia,205,188,9,2,nao,2,ruim,895000
casa,Sao Paulo,Perdizes,centro,171,74,3,3,nao,10,bom,1145000
sitio,Cotia,Zona Rural,periferia,40886,152,5,2,nao,11,bom,2491000
apartamento,Sao Paulo,Vila Mariana,centro,43,40,2,1,nao,24,ruim,394000
apartamento,Sao Paulo,Capao Redondo,periferia,40,37,2,1,nao,24,ruim,193000
apartamento,Sao Paulo,Itaim Paulista,periferia,43,39,2,0,nao,17,bom,122000
casa,Sao Paulo,Santana,centro,937,364,19,4,sim,5,bom,6341000
sitio,Atibaia,Zona Rural,periferia,48491,256,10,2,nao,24,bom,1155000
apartamento,Guarulhos,Centro (Guarulhos),periferia,140,126,6,0,nao,38,ruim,517000
chacara,Mairipora,Zona Rural,periferia,12322,137,6,4,nao,13,bom,2305000
apartamento,Sao Paulo,Santana,centro,162,151,7,0,nao,36,ruim,949000
casa,Sao Paulo,Brasilandia,periferia,681,354,18,4,nao,27,ruim,1763000
apartamento,Sao Paulo,Guaianases,periferia,134,118,6,0,nao,9,ruim,358000
apartamento,Sao Paulo,Higienopolis,centro,140,125,5,3,sim,18,ruim,1427000
apartamento,Sao Paulo,Jardim Paulista,centro,135,127,5,3,nao,34,ruim,1241000
casa,Sao Paulo,Santana,centro,572,313,15,3,sim,47,ruim,2801000
sitio,Cotia,Zona Rural,periferia,29180,299,12,2,sim,21,bom,2288000
casa,Sao Paulo,Itaquera,periferia,660,364,17,1,nao,10,bom,1923000
chacara,Juquitiba,Zona Rural,periferia,5609,396,13,2,nao,14,bom,1835000
casa,Sao Paulo,Itaquera,periferia,242,115,6,4,sim,22,bom,688000
casa,Sao Paulo,Vila Nova Conceicao,centro,737,303,15,4,nao,32,ruim,4032000
apartamento,Sao Paulo,Itaim Bibi,centro,126,126,6,0,nao,5,bom,1862000
chacara,Braganca Paulista,Zona Rural,periferia,7394,238,10,2,nao,5,ruim,953000
casa,Sao Paulo,Sapopemba,periferia,671,397,18,4,nao,31,ruim,1389000
casa,Sao Paulo,Brooklin,centro,171,108,4,1,nao,28,ruim,1050000
chacara,Pinhalzinho,Zona Rural,periferia,4555,344,13,1,nao,23,ruim,1690000
casa,Sao Paulo,Guaianases,periferia,350,232,13,2,sim,13,bom,1019000
apartamento,Sao Paulo,Vila Mariana,centro,216,196,8,0,sim,11,bom,2078000
chacara,Sao Luiz do Paraitinga,Zona Rural,periferia,7453,78,3,3,nao,9,bom,1455000
apartamento,Sao Paulo,Bela Vista,centro,134,120,6,2,nao,11,bom,1216000
casa,Sao Paulo,Vila Mariana,centro,266,150,7,2,sim,32,ruim,1529000
apartamento,Sao Paulo,Cidade Ademar,periferia,104,94,3,3,nao,31,ruim,461000
casa,Sao Paulo,Brooklin,centro,334,206,8,4,nao,3,bom,2565000
apartamento,Sao Paulo,Vila Madalena,centro,57,56,1,0,nao,0,bom,613000
casa,Sao Paulo,Brooklin,centro,206,143,7,2,sim,7,ruim,1792000
casa,Osasco,Centro (Osasco),periferia,312,99,4,1,nao,15,ruim,624000
sitio,Cotia,Zona Rural,periferia,71600,341,12,2,nao,7,bom,4268000
casa,Sao Paulo,Vila Nova Conceicao,centro,440,150,9,1,nao,1,bom,3391000
apartamento,Sao Paulo,Grajau,periferia,150,143,7,1,nao,22,ruim,497000
casa,Sao Paulo,Vila Olimpia,centro,180,98,5,1,nao,35,ruim,1081000
apartamento,Sao Paulo,Vila Mariana,centro,239,212,9,3,nao,43,ruim,1664000
apartamento,Sao Paulo,Pinheiros,centro,90,80,2,2,nao,23,bom,935000
apartamento,Sao Paulo,Pinheiros,centro,72,68,3,0,sim,19,ruim,988000
casa,Sao Paulo,Sapopemba,periferia,896,358,18,2,sim,4,bom,2256000
casa,Sao Paulo,Moema,centro,950,330,16,1,nao,18,ruim,4940000
sitio,Nazare Paulista,Zona Rural,periferia,24351,302,11,2,sim,32,ruim,1824000
apartamento,Sao Paulo,Grajau,periferia,221,199,7,1,nao,47,ruim,692000
apartamento,Sao Paulo,Vila Olimpia,centro,184,172,6,2,nao,11,ruim,1621000
apartamento,Sao Paulo,Guaianases,periferia,83,81,2,0,nao,1,bom,322000
apartamento,Osasco,Centro (Osasco),periferia,187,176,7,2,nao,25,ruim,1095000
chacara,Cotia,Zona Rural,periferia,7100,326,11,3,sim,9,bom,2223000
apartamento,Sao Paulo,Perdizes,centro,209,198,7,1,nao,30,ruim,1614000
sitio,Ibiuna,Zona Rural,periferia,80446,313,12,1,sim,11,bom,5319000
casa,Guarulhos,Centro (Guarulhos),periferia,632,321,17,1,nao,43,ruim,1269000
chacara,Nazare Paulista,Zona Rural,periferia,5259,76,5,2,sim,47,ruim,545000
casa,Sao Paulo,Capao Redondo,periferia,585,293,14,3,sim,12,bom,1524000
casa,Sao Paulo,Jardim Angela,periferia,318,122,7,4,nao,13,bom,759000
apartamento,Sao Paulo,Jardim Paulista,centro,137,135,5,2,nao,42,ruim,1212000
casa,Sao Paulo,Cidade Ademar,periferia,246,88,6,1,nao,56,ruim,403000
casa,Sao Paulo,Guaianases,periferia,895,304,14,1,sim,14,bom,1678000
apartamento,Sao Paulo,Santana,centro,213,204,7,3,nao,29,ruim,1222000
apartamento,Sao Paulo,Bela Vista,centro,53,49,1,1,nao,52,ruim,352000
chacara,Sao Luiz do Paraitinga,Zona Rural,periferia,1124,232,9,3,sim,4,bom,928000
chacara,Juquitiba,Zona Rural,periferia,2668,158,5,1,sim,26,ruim,811000
apartamento,Sao Paulo,Vila Mariana,centro,199,175,8,3,nao,16,bom,2119000
apartamento,Sao Paulo,Mooca,centro,110,100,5,3,nao,31,ruim,689000
apartamento,Sao Paulo,Santana,centro,206,185,6,1,sim,27,bom,1514000
casa,Sao Paulo,Vila Olimpia,centro,249,107,5,1,sim,47,ruim,1299000
apartamento,Osasco,Centro (Osasco),periferia,214,205,8,0,nao,34,ruim,1002000
sitio,Atibaia,Zona Rural,periferia,61556,145,7,2,sim,12,bom,4043000
apartamento,Sao Paulo,Parelheiros,periferia,129,123,4,0,nao,47,ruim,404000
casa,Sao Paulo,Grajau,periferia,810,304,15,4,nao,13,bom,1654000
apartamento,Sao Paulo,Itaim Bibi,centro,76,70,2,0,nao,17,bom,754000
casa,Sao Paulo,Sapopemba,periferia,722,230,10,4,nao,3,ruim,1293000
apartamento,Sao Paulo,Capao Redondo,periferia,43,43,3,0,nao,45,ruim,137000
casa,Sao Paulo,Vila Nova Conceicao,centro,248,91,6,1,sim,2,bom,1867000
casa,Sao Paulo,Grajau,periferia,597,204,11,4,nao,11,bom,1299000
apartamento,Sao Paulo,Brooklin,centro,149,132,6,1,nao,35,ruim,963000
casa,Sao Paulo,M'Boi Mirim,periferia,737,264,14,2,sim,3,bom,1163000
apartamento,Sao Paulo,Guaianases,periferia,135,123,4,2,nao,23,ruim,471000
